id,title,description,link,image_link,price,currency,categoryid1,categoryid2,condition,brand,version,country,city,star
5280,"SUN ODYSSEY 52.2 ","FULL SAFETY EQUIPMENT ",https://www.bandofboats.com/fr/buy/boat/5280,https://cdn.bandofboats.com/aws/3437/146/5280-1.jpg?s=fdbd2e493f206567d406e99a2fc6acaf,120000,EUR,Voilier,"Voilier monocoque",Occasion,JEANNEAU,"SUN ODYSSEY 52.2",Grèce,athens,0
5281,"SUNSEEKER 37 TOMAHAWK","Sunseeker Tomahawk 37, version MK 2 avec les moteurs KAMD, grand entretien 2012, nouveau cousin de bain de soleil, moteurs en parfait état. Visible à Ostende",https://www.bandofboats.com/fr/buy/boat/5281,https://cdn.bandofboats.com/aws/3340/65/5281-1.jpg?s=a9561faf3379462946a1a7ece85b1e08,54900,EUR,Moteur,"Vedette Open",Occasion,SUNSEEKER,"SUNSEEKER 37 TOMAHAWK",Belgique,oostende,0
5282,"FORMULA 29 PC",,https://www.bandofboats.com/fr/buy/boat/5282,https://cdn.bandofboats.com/aws/3353/78/5282-1.jpg?s=4008b2d2e2e315dc04d1cbd135f0f561,40000,EUR,Moteur,"Vedette Open",Occasion,FORMULA,"FORMULA 29 PC",Espagne,ibiza,0
5283,"CONTEST 38 ",,https://www.bandofboats.com/fr/buy/boat/5283,https://cdn.bandofboats.com/aws/3376/101/5283-1.jpg?s=bf08217f8bbe20883dbcb69cacedb4b4,99000,EUR,Voilier,"Voilier monocoque",Occasion,CONYPLEX,"CONTEST 38",Portugal,lisbon,0
5285,"MOCHI 24 ",,https://www.bandofboats.com/fr/buy/boat/5285,https://cdn.bandofboats.com/aws/google-oauth2_106207013144076630112/11628-1.jpg?s=3281d6b8aa0d0b88bf4289c22e7ec35b,1750000,EUR,Moteur,"Vedette Flybridge",Occasion,"MOCHI CRAFT","MOCHI 24",Portugal,lisbon,0
5286,"SUN ODYSSEY 49 ",,https://www.bandofboats.com/fr/buy/boat/5286,https://cdn.bandofboats.com/aws/3340/65/5286-1.jpg?s=b53f113fc7385f3fbcd031453d16458a,125000,EUR,Voilier,"Voilier monocoque",Occasion,JEANNEAU,"SUN ODYSSEY 49",Belgique,nieuwpoort,0
5287,"ASTONDOA 54 GLX",,https://www.bandofboats.com/fr/buy/boat/5287,https://cdn.bandofboats.com/aws/3376/101/5287-1.jpg?s=9cfb0f3274ef010ab89e99e8941740ee,465000,EUR,Moteur,"Vedette Flybridge",Occasion,ASTONDOA,"ASTONDOA 54 GLX",Portugal,lisbon,0
5288,"RIVIERA 40 ",,https://www.bandofboats.com/fr/buy/boat/5288,https://cdn.bandofboats.com/aws/3376/101/5288-1.jpg?s=53aaaf1131f5d98ff090adabc69ad8fb,240000,EUR,Moteur,"Vedette Flybridge",Occasion,RIVIERA,"RIVIERA 40",Portugal,lisbon,0
5290,"PRINCESS 440 ",,https://www.bandofboats.com/fr/buy/boat/5290,https://cdn.bandofboats.com/aws/google-oauth2_106207013144076630112/11628-1.jpg?s=3281d6b8aa0d0b88bf4289c22e7ec35b,220000,EUR,Moteur,"Vedette Flybridge",Occasion,"PRINCESS YACHTS","PRINCESS 440",France,lisboa,0
5291,"SCAMPI ","Randa, Genoa leggero 2006, genoa 2, genoa 3, Tormentina, Spi Sartiame 2008, presa banchina, carica batterie, scafo riverniciato 2006, tappezzeria interna 2006, antenna Tv - barca veloce a vela",https://www.bandofboats.com/fr/buy/boat/5291,https://cdn.bandofboats.com/aws/3304/29/5291-1.jpg?s=04296732b8589369f784f51c61170934,12000,EUR,Voilier,"Voilier monocoque",Occasion,"NAUTIC SAINTONGE",SCAMPI,Italie,palermo,0
